width=100.0 height=100.0 borderType=0
Nodes: 10
time, xpos, ypos
43.0, 35.694, 12.725
43.0, 39.603, 20.223
43.0, 37.481, 22.918
44.0, 19.468, 28.375
44.0, 17.373, 35.448
44.0, 15.607, 21.36
44.0, 26.396, 16.071
44.0, 30.419, 32.042
44.0, 19.746, 36.862
44.0, 36.086, 21.976
44.0, 33.779, 13.854
44.0, 41.396, 19.113
44.0, 35.947, 24.178
45.0, 18.119, 30.257
45.0, 18.538, 33.757
45.0, 17.435, 22.395
45.0, 28.383, 14.632
45.0, 28.557, 33.131
45.0, 17.816, 38.278
45.0, 37.225, 23.681
45.0, 35.176, 15.362
45.0, 39.427, 17.398
45.0, 37.812, 25.49
46.0, 19.619, 29.033
46.0, 20.227, 32.592
46.0, 15.926, 21.35
46.0, 30.078, 13.263
46.0, 26.557, 31.14
46.0, 16.424, 40.025
46.0, 36.17, 25.48
46.0, 37.064, 13.431
46.0, 37.784, 15.701
46.0, 35.976, 24.462
47.0, 18.263, 30.917
47.0, 19.226, 31.042
47.0, 14.667, 19.896
47.0, 31.35, 11.504
47.0, 25.223, 32.65
47.0, 15.221, 41.854
47.0, 37.378, 27.002
47.0, 38.484, 14.876
47.0, 36.657, 16.863
47.0, 34.505, 26.225
48.0, 19.653, 32.077
48.0, 21.173, 32.9
48.0, 16.353, 17.951
48.0, 29.382, 10.45
48.0, 26.278, 31.568
48.0, 13.862, 40.06
48.0, 38.799, 28.789
48.0, 39.576, 16.801
48.0, 34.749, 17.894
48.0, 32.669, 27.788
49.0, 21.05, 33.081
49.0, 19.475, 30.983
49.0, 17.377, 15.986
49.0, 27.908, 8.73
49.0, 24.692, 29.835
49.0, 14.868, 38.885
49.0, 39.854, 27.432
49.0, 41.043, 15.268
49.0, 36.41, 16.172
49.0, 30.999, 26.061
50.0, 19.804, 34.19
50.0, 21.185, 29.296
50.0, 15.525, 17.978
50.0, 26.366, 7.489
50.0, 22.947, 31.41
50.0, 13.545, 37.15
50.0, 41.193, 25.579
50.0, 42.632, 17.051
50.0, 34.694, 17.375
50.0, 32.609, 24.286
51.0, 21.515, 32.402
51.0, 19.68, 30.348
51.0, 17.282, 19.263
51.0, 24.427, 9.366
51.0, 24.908, 33.113
51.0, 15.038, 38.762
51.0, 40.085, 24.253
51.0, 41.59, 18.788
51.0, 33.148, 16.344
51.0, 30.897, 22.681
52.0, 20.34, 33.922
52.0, 18.425, 29.267
52.0, 19.265, 18.051
52.0, 26.348, 7.907
52.0, 26.749, 31.268
52.0, 13.87, 40.06
52.0, 38.573, 23.227
52.0, 39.814, 17.71
52.0, 34.233, 15.075
52.0, 29.684, 20.868
53.0, 21.631, 32.632
53.0, 17.104, 30.292
53.0, 17.865, 19.616
53.0, 24.679, 6.201
53.0, 28.412, 32.697
53.0, 15.013, 41.252
53.0, 37.061, 24.474
53.0, 41.417, 18.767
53.0, 32.278, 13.679
53.0, 27.975, 19.412
54.0, 23.531, 33.747
54.0, 15.882, 28.754
54.0, 19.203, 21.078
54.0, 26.058, 4.372
54.0, 26.797, 30.784
54.0, 13.846, 39.511
54.0, 35.826, 25.846
54.0, 43.003, 20.353
54.0, 30.373, 15.281
54.0, 29.194, 17.667
55.0, 21.749, 32.386
55.0, 17.588, 26.86
55.0, 18.072, 19.333
55.0, 27.999, 2.954
55.0, 28.633, 32.313
55.0, 12.755, 38.091
55.0, 37.321, 27.35
55.0, 44.745, 18.391
55.0, 31.408, 14.189
55.0, 30.981, 16.236
56.0, 20.687, 30.63
56.0, 19.449, 25.67
56.0, 16.661, 21.311
56.0, 26.58, 1.073
56.0, 30.217, 30.5
56.0, 10.967, 37.04
56.0, 38.375, 26.045
56.0, 46.508, 20.377
56.0, 33.033, 12.923
56.0, 29.378, 18.12
57.0, 22.007, 31.839
57.0, 17.968, 27.46
57.0, 15.174, 22.744
57.0, 26.531, 1.019
57.0, 29.118, 32.043
57.0, 12.508, 38.258
57.0, 36.937, 27.97
57.0, 48.199, 21.856
57.0, 34.663, 10.99
57.0, 31.189, 19.235
58.0, 20.27, 30.014
58.0, 16.867, 25.936
58.0, 13.813, 21.041
58.0, 26.532, 1.018
58.0, 27.154, 30.063
58.0, 10.671, 40.044
58.0, 38.309, 29.127
58.0, 46.468, 23.307
58.0, 35.814, 9.086
58.0, 29.744, 17.977
59.0, 22.108, 31.75
59.0, 15.459, 27.32
59.0, 12.606, 22.838
59.0, 26.537, 1.014
59.0, 28.201, 28.542
59.0, 8.909, 38.275
59.0, 37.157, 27.947
59.0, 44.802, 24.727
59.0, 37.285, 10.7
59.0, 28.541, 16.726
60.0, 23.756, 30.118
60.0, 13.493, 29.051
60.0, 11.225, 20.961
60.0, 26.537, 1.014
60.0, 29.532, 27.384
60.0, 10.343, 39.333
60.0, 38.678, 29.48
60.0, 46.335, 26.369
60.0, 38.728, 9.049
60.0, 26.568, 14.999
T=60.0 dt=1.0 N=60
